match_id,home_team,away_team,stadium,elo_delta,home_xg_for,away_xg_for,home_xg_against,away_xg_against,home_exp_goals,away_exp_goals,total_exp_goals,home_tactical_score,away_tactical_score,match_tactical_modifier,venue_tier,home_climate_mod,away_climate_mod,situational_modifier,home_adj_xg,away_adj_xg,adjusted_total_exp_goals,match_ou_line,under_prob,over_prob,market_over,market_under,edge_over,edge_under,ou_best_edge,ou_best_value,ou_signal,ou_review_flag
72,Jordan,Argentina,AT&T Stadium,29,1.044,1.144,1.346697701,0.873425,0.97577,1.22507908,2.20084908,-0.132,0.07,-0.031,mild,0,0,-0.031,0.84696836,1.310834616,2.090911084,2.5,62.25%,37.75%,,,,,0.00%,Under 2.5,PASS,
73,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
74,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
75,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
76,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
77,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
78,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
79,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
80,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
81,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
82,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
83,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
84,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,,,,,0.00%,Under ,PASS,
